,User Address,MARS Airdrop
37115,terra17zj2rtfjqgauwlc78mjqqg4mzjlazz8srghrf8,18473222
37114,terra109d9fcwhd0kak20qkf0pzct8v49nqskp50sk7q,18473222
37113,terra139d39j8u3z0w47k0cqwyqlgvv7l9z6ga7gnse4,18473222
37112,terra1v6y7vfg26fyzd3rkpf9fy9v7zrsnlg4khwjtay,18473222
37111,terra1ummtu28qflr63zcjy63gpv4d7fhy6tz836p6rd,18473222
37110,terra1hhwg4n5ykuxcm5cat2t7na3jpatdxkatrtumds,18473222
37121,terra163rnqtuk96lta5e68g0z9nma6gukvwqmvfh5sf,18473222
37109,terra1d3344se3vemga7xamd6d05jmxv22tvr3e69jrx,18473222
37149,terra1393g0m365fcqdvqz3256653p6kun9s3tdtwuuh,18473222
37108,terra1vg85jj2s6av3nnepeqygmjxjmdy37hc2lln3ad,18473222
37106,terra125t255musqy8ejer2xtfxs0yskeerfpkzwlqem,18473222
37215,terra1nwpslhrs9u7tq0vfld6jya4m960rljv2yzg9cw,18473222
37104,terra1jm7fk63xym53w34pv3hlrn88htjj2gqd94aaz3,18473222
37172,terra1fns4nclvknrlv22kggrx34um2y09wq5cmr03qw,18473222
37102,terra1g8lucprx7a4jmlwy9la00xlhtltamjyl4mfnvm,18473222
37101,terra13yky7uy6rpek00eqx6xgefl8fpaksdrvyen5s4,18473222
37099,terra1whlmsz9ah0grxwk9hx3nk3yxfkcjaxcaegn497,18473222
37098,terra1dgemdn9lcaqwaqjazcqjtqq9vezxuuqqp5c07m,18473222
37214,terra1vjs2t6mq9llen5cwyc9ynvqsny8cx52t4usu5d,18473222
37153,terra15jv5rjq50v6sznmtk84a7w2y4hshm594gtwcat,18473222
37122,terra17z2kq5jmfm9fkkng2d99g4c9vlse7aassen3pm,18473222
37125,terra1y8le7h5pwmx9fjqsfcmt8pv4qwdt5n4q2tay07,18473222
37107,terra10p47kst0frvlwwtpcf5uckurg8myzrf0wqtu5d,18473222
37185,terra1hvmmxl95gr99k0utt8jfy8tdf3xa7zhs5jeaah,18473222
37148,terra14dhpuhqda8fqdfja7snnmy0su7t3fnphwu3h04,18473222
37147,terra18u7hrsh4q8535hf76u5x2kq8jwlmfftsf6pkmf,18473222
37213,terra12eqn9qyvgfg7h7nzsdrktg6nxq65f2yejf7pqg,18473222
37143,terra17ddn035nmvq2udnll46lh2lar07cwa8npz9lz9,18473222
37142,terra1j2ynahrdhgyyvugtep4f4qgs7a8xa4kmaxzkex,18473222
37141,terra1s3seccuhnnsy8uj3tvh4fdatz8mvcxc5kql75h,18473222
37140,terra1enxjpk8wekpzeh6tcyp0j852g9lcdmt7848z7z,18473222
37123,terra1smmthycvfjetlfvl22ruzqdx5ua55kdzvy6slm,18473222
37138,terra1e3nmy4tcapszhhkswqn8jrhltt8n796w04sfqr,18473222
37212,terra14g244ek3etj9f7r69r8ekngrtcvvus5n6ddw4s,18473222
37136,terra16edx0nhx4tduymjheh77nfdpc3f3af0dvem0u3,18473222
37135,terra1dp8mgtgucnxqyk5ff0uskhv0thv6zmm8qutwq0,18473222
37134,terra1dzgjz9vkqn9u7y5t0znmfkkz6dumaehdjayj0a,18473222
36998,terra13vku9lkpjte99tqyj83ygaeqg6pwjk44mjk2vw,18473222
37144,terra1svdz8wu8qeend5mpp09vwrkfgl3qttxra2e4cm,18473222
37133,terra1x45hdhtsgph8kslv0tx8exxs8z6p7p2s3uu27u,18473222
36576,terra1dhgj5jzsvcw20p968t4xg5xmqduy6g22t080yt,18473222
37128,terra1c90z9xfpaxe8thgpwjmpr32yywrlcq35d64wvf,18473222
37126,terra1yjy3s0z7h7sqwpw6wglgpx28t74p3dtlekj8um,18473222
37137,terra1ev26mxp5uvrdwyr53l5du4pth5tw32c5fw05k3,18473222
36996,terra1u92yv5vvzkltcd6u8ze2xevcy4tz83fsczqd66,18473222
37667,terra13lj0kryl2vlfe7d70z29xk9qn7cmy0827ev0cp,18473222
36994,terra1hpejgy8mdgd9lkvafsmz7ugdmgryf695m8zh53,18473222
36570,terra1xsh0tklyy9n0nesjrahmva2yasxuudp4pc49gx,18473222
36571,terra1xtctlh03vy6zsyu97r2x2gxyealjj5fs99l9sp,18473222
36572,terra1m5atyh6kqdg6w252zj25v9fh86xxly746w0l7y,18473222
36573,terra1we3cvnxu5ujmdwvfd0chjprk94ejveyjeast82,18473222
36574,terra1l0fdzz6d9gqjg4ksz39mdpnnwngns3lgg3lmah,18473222
37129,terra1c7wfgcawkeaq9s6q9278nar3xy740u59rrknaq,18473222
36578,terra1esm3xr9c78fkya62fpwav2e05g02xtqvchqpng,18473222
36582,terra1e3va9xn9hjfcz3kugn8ngq5grmj0z7dmm7jfpq,18473222
36531,terra18hncp4muhawt4zrz3lnfxf6yjlf0zux3pr00w7,18473222
37145,terra1jn4qd5awtsq8rumhryg8c5wvkf4pm248clr5ag,18473222
36598,terra1gf5rp043ncc5r604fs3u58xsuv63xc7w9wmdpy,18473222
36583,terra18m96ujlpzcx6p6883p2eug32d4zs59pqu47hme,18473222
36584,terra163y7x5g0ergwpj8kt9auvl2rm6d8xv3ud337f3,18473222
36585,terra1jvvcuywr335m50und25ctt5wruma4renyvkmdm,18473222
36587,terra1vdassyk2pmxvua7c0ndez8gzrxf62mvf9mejtw,18473222
36569,terra172n0lemk7qq3y7jf5zq94zerud7eeqx30rtsew,18473222
36588,terra1atmlw5xqsq5u75lcgr2d23a6dqtqe4p5n0vl88,18473222
36590,terra1y6snx60023fh3a0w0kp2p9rdsa3fg8lu9fvwkm,18473222
36592,terra10sjtq5l5443lhd7fl3ks2aapevjrht7f07ng0k,18473222
36593,terra16sv3c7lwnw5cgh5z5tqu4h6vxcaej3utuqanlp,18473222
36594,terra1y7n4kx4czzls25v0x9parmtwt89uatx9vp5h9c,18473222
36595,terra1m5w7z42mejzm0k39v0trhwu5d8pc6kqm8c8h4h,18473222
36597,terra1y6j7yfkjqe89xc663xhqx3lrr0sgpcvp4929z6,18473222
36599,terra1p3s6lnsqyx7l770y53nvgtl2ja0nekxh434dr2,18473222
36581,terra15xmuznncrjn2tfnfum436meczclje6yallr9k2,18473222
36600,terra1rrarfscjg4349vjnj0x52s03vn34e5gaktxw4n,18473222
36601,terra1efy6su2twrw8w5vwvzn9y7kz3eaanx62ztsjp7,18473222
36602,terra1gptp7ntcr95eqf5g8cyw26hyzrg0445he2jmgn,18473222
36603,terra1mehrpmlr8vp0hscts2kc2qwzpghwkvzj7q3dj0,18473222
36604,terra1vrmh6cuejs9v6g0l7al0pwayrqc8uzcw4pj727,18473222
36606,terra1xk7fr9hydypzuz3d6tl3ejshhkj4p4gcznwsfg,18473222
36589,terra1ktk5096jw8xr0wn9dwrm4t3yczdkd7n796x647,18473222
36607,terra1pwl7qlyzkhpq0gjjfsarqhk6mtrcyzd7smwwxx,18473222
36568,terra16znq2kj03pzdsrpqn2w6vgpu586wapxhnekvsp,18473222
36565,terra1e8lan8h25yn865tqqqdqvz57pp54u0eelryryj,18473222
36530,terra1e853t5q39gpu588a56vxdxf990tutr6d8fx58y,18473222
37034,terra1v07d3cmjrezxsdp3qscj24zrxhu7pj7wadrter,18473222
36887,terra1cwpctf7q597wr4300m8qes44qakvte2z0k93vk,18473222
37033,terra1se8gf59w9a30l4ayf2x9qnp659symsl2mwk68r,18473222
36533,terra168qwmqt76kep9xakhwg6ln3tm7z8lca2e4rn0t,18473222
36683,terra1hu9et0c9957yegpntyjeygfkl7j8uqkk6lyzms,18473222
36551,terra1c0k6a7c3mxpcqcn44sxg8x6jv46yxrjrqddky4,18473222
36536,terra1mgkd6eajd0t54tvtle0vs8xn3u3x5amx33j6lz,18473222
36538,terra1amse5jrrrvx73plfrwaqzts2h4j5k68tl29tcp,18473222
36539,terra1e88zclrvr8mhct8zpd70fpf6mw4lyun6v6v6wp,18473222
36540,terra1psg80u0hl327hrq64hl9nsdjgpjxs2krhdjtsn,18473222
36541,terra1r4krehuxl9c4858xv6pfv6u6whr4juw3huac4x,18473222
36542,terra1wacxa2pnaldhnk2d5mhnvnfr287r44advgyn4l,18473222
36543,terra1ltputjqadxue5m98pysx9gh0hjvhl4penqcxky,18473222
36544,terra1dukdzfrsr0r8qg4uter2w5pe6smkw3dsy0was5,18473222
36566,terra1lfdw8zc3u5k4drnspklpfaeltev407rrrqd7e4,18473222
36545,terra1cyaz50tx47zdacu5n6d8qdmkzt4ghgfgn9netu,18473222
36610,terra1deydkvh6eh3vevuqtqvkcflcgwzauca3e8m72y,18473222
36548,terra1mvzxhcnntme6vsl002r2s0af9h4wzlmv7aju53,18473222
36552,terra1dmukd0ekf40r8acj4z0emda69snzzznftjltdw,18473222
36609,terra1x2zvfcnatv0ftum5qw7wtpkphgvj9symd53sr8,18473222
36553,terra18q85yt9pdrnp9ldjz8xczlp0zmqn80h68rnhc8,18473222
36554,terra1em7xdvaaezr5wkew56txnjf0f0k5tl66f6fjwd,18473222
36555,terra1wn4clv92zlu9cc0w7fudth08hds2vyh4u9h5qe,18473222
36556,terra1e2rtrvasd5q6606z9fygkacdckgjnfnxr03dhl,18473222
36557,terra1xstvn5g5dwp8g2txzh5duluhtvnzgwc0gs9wm5,18473222
36558,terra1lxfk78yzvu52y26h36mp4z898c53pgfqs03wer,18473222
36562,terra1uhs0najy48pwkztxq67a0s24k3luk0kqdf60xr,18473222
36563,terra16udh4w2p6g9xnw2z4h9mcn2dvqglnvaewh6l5j,18473222
36564,terra189stfca0wpmd9c6u09kjdwflr5esnlagawquff,18473222
36547,terra1eu3l3u8sau0gqnav2suxeau7dugd95huu9ux0u,18473222
36549,terra1z3u227v7hhtfa5e0jav2naqetxu9m9ne3h92w3,18473222
36608,terra1mk96dvm955arfp2chejwjlr7x2783t7vzlgmpy,18473222
36651,terra155qqjw5n8ps953dagms8tqjd9ddgj6e62ux6vk,18473222
36678,terra1x8nq00fpnun5yg0jf0ratdzglwjqavta2xrdy2,18473222
36439,terra1q2hyjljew7vasz623zcvrudj9pks3mk0cr2afd,18473222
36649,terra14300dj55utp96vqsny495xm07ys5k9tuyqjs4q,18473222
36652,terra10d3at3fzat27tgx3pj4y5d8mer8068znx9c4mh,18473222
36653,terra147p85k6392rxu9s5pekaags7a2hjhp9kprnjdt,18473222
36654,terra1gdvglq97t73rcct4spac8pd3u9jvfqkl5ye2ag,18473222
36655,terra1d9utgr9t5m3cetwymr6sjqv2earkdeg7yc67xz,18473222
36656,terra16lf2kpend8egnydfevqhdjcaspsumv4nxrmeg3,18473222
36657,terra1uahhtpfkfv4dfdjw35tpnvv5nrlauptemygx48,18473222
36658,terra1cpuxs5vgqf5w0cfqgwm8wngv9rzh2xfrm70vl5,18473222
36659,terra1kewxalh2kuxc7m939lwc39dadnszcry2g5ejtl,18473222
36660,terra1cplgg0utda7pk22q5guug893nhlfzv4tpt8uqj,18473222
36661,terra1xq5u0hrrg6t6s7gscnlyhdrt5g6vs957rzwsq7,18473222
36681,terra164rt09lycu3kd6xlnwq4k4qqq7qkpnnshuqscq,18473222
36662,terra1xdex8ppzwng058j4m7wt2lcs9agrh6k56nw7yd,18473222
36664,terra1d8de4r4p9dnv86xznphmhg6n024ghkfljrwhk0,18473222
36650,terra1wrdduur7e36500ctzauw9xanj47xn0kndzk2v7,18473222
36666,terra1498xep37yvkhj66hv8wqjng7lwatlm7gkj3xjp,18473222
36667,terra1sd0kzs2fvva0pytpr7hwwn5kwjh3gw7m86pguk,18473222
36668,terra1h6jqug7lqu0x2dkl3xggp9qh7wmd5ltkcefnfm,18473222
36670,terra1h6h2ssu40c2nju7wfycsuaed9v7j5yxdx2tyst,18473222
36671,terra138axlnu6erfplkq0ppxxp75p4u93q7mser589p,18473222
36672,terra1sh6yxjxp5v8ugdrwl94ndr29saaw6kcw95kx8j,18473222
36673,terra10jfhwaal66xu84rmvc4ntsx6rllpyc83r248zp,18473222
36674,terra1stqyx5ppr63g7ng5x5x2ewt2f80ukaff8memzk,18473222
36675,terra14ylvjf9p6vz3x7kpykejc99hrckt78ttcuzj5r,18473222
